as_of,date,kpi_id,forecast,model
2027-06-01,2027-07-01,KPI_E2E,2.3495732427494733,ridge_lag
2027-06-01,2027-08-01,KPI_E2E,2.251518972088372,ridge_lag
2027-06-01,2027-09-01,KPI_E2E,2.182771047561068,ridge_lag
2027-06-01,2027-10-01,KPI_E2E,2.164270606293124,ridge_lag
2027-06-01,2027-11-01,KPI_E2E,2.1834683991774235,ridge_lag
2027-06-01,2027-12-01,KPI_E2E,2.2688888950953174,ridge_lag
2027-06-01,2027-07-01,KPI_INC,29.183251287780344,ridge_lag
2027-06-01,2027-08-01,KPI_INC,28.681675591178927,ridge_lag
2027-06-01,2027-09-01,KPI_INC,27.63152515646844,ridge_lag
2027-06-01,2027-10-01,KPI_INC,26.23870046723479,ridge_lag
2027-06-01,2027-11-01,KPI_INC,24.848958725287346,ridge_lag
2027-06-01,2027-12-01,KPI_INC,23.81290977997426,ridge_lag
2027-06-01,2027-07-01,KPI_STP,86.99608694011991,ridge_lag
2027-06-01,2027-08-01,KPI_STP,86.38668711688052,ridge_lag
2027-06-01,2027-09-01,KPI_STP,85.71872095240859,ridge_lag
2027-06-01,2027-10-01,KPI_STP,85.16850728019455,ridge_lag
2027-06-01,2027-11-01,KPI_STP,84.92681987035351,ridge_lag
2027-06-01,2027-12-01,KPI_STP,85.05677919268044,ridge_lag
